state_name,year,no_capital_punishment,no_life_imprisonment,no_executed
Chhattisgarh,2011,0,0,false
Goa,2001,0,0,false
Goa,2002,0,0,false
Goa,2003,0,0,false
Goa,2004,0,0,false
Goa,2005,0,0,false
Goa,2006,0,0,false
Goa,2008,0,0,false
Goa,2009,0,0,false
Goa,2010,0,0,false
Goa,2011,0,0,false
Goa,2012,0,1,false
Gujarat,2002,0,0,false
Gujarat,2006,0,0,false
Gujarat,2007,0,0,false
Gujarat,2008,0,0,false
Gujarat,2010,0,0,false
Haryana,2005,0,0,false
Haryana,2006,0,3,false
Haryana,2010,0,1,false
Himachal Pradesh,2001,0,0,false
Himachal Pradesh,2002,0,0,false
Himachal Pradesh,2003,0,0,false
Himachal Pradesh,2006,0,0,false
Himachal Pradesh,2008,0,1,false
Himachal Pradesh,2009,0,0,false
Himachal Pradesh,2010,0,0,false
Himachal Pradesh,2011,0,0,false
Himachal Pradesh,2012,0,0,false
Jammu & Kashmir,2002,0,0,false
Jammu & Kashmir,2003,0,5,false
Jammu & Kashmir,2004,0,5,false
Jammu & Kashmir,2005,0,0,false
Jammu & Kashmir,2006,0,3,false
Jammu & Kashmir,2008,0,0,false
Jammu & Kashmir,2012,0,0,false
Jharkhand,2001,0,0,false
Jharkhand,2003,0,0,false
Karnataka,2001,0,0,false
Karnataka,2002,0,0,false
Karnataka,2003,0,0,false
Kerala,2002,0,0,false
Kerala,2010,0,0,false
Kerala,2011,0,3,false
Manipur,2001,0,0,false
Manipur,2004,0,0,false
Manipur,2005,0,0,false
Manipur,2006,0,0,false
Manipur,2007,0,0,false
Manipur,2009,0,0,false
Manipur,2010,0,0,false
Manipur,2011,0,1,false
Manipur,2012,0,0,false
Meghalaya,2001,0,1,false
Meghalaya,2002,0,0,false
Meghalaya,2003,0,0,false
Meghalaya,2004,0,0,false
Meghalaya,2005,0,0,false
Meghalaya,2006,0,1,false
Meghalaya,2009,0,0,false
Meghalaya,2010,0,0,false
Meghalaya,2011,0,0,false
Meghalaya,2012,0,0,false
Mizoram,2001,0,0,false
Mizoram,2002,0,0,false
Mizoram,2003,0,0,false
Mizoram,2004,0,0,false
Mizoram,2005,0,0,false
Mizoram,2006,0,0,false
Mizoram,2007,0,0,false
Mizoram,2008,0,0,false
Mizoram,2009,0,0,false
Mizoram,2010,0,0,false
Mizoram,2011,0,0,false
Mizoram,2012,0,0,false
Nagaland,2001,0,6,false
Nagaland,2002,0,4,false
Nagaland,2003,0,5,false
Nagaland,2004,0,0,false
Nagaland,2005,0,0,false
Nagaland,2006,0,0,false
Nagaland,2007,0,0,false
Nagaland,2008,0,0,false
Nagaland,2009,0,0,false
Nagaland,2010,0,0,false
Nagaland,2011,0,0,false
Nagaland,2012,0,0,false
Orissa,2002,0,0,false
Orissa,2003,0,0,false
Orissa,2005,0,0,false
Orissa,2008,0,0,false
Orissa,2009,0,0,false
Orissa,2011,0,0,false
Orissa,2012,0,2,false
Punjab,2002,0,0,false
Punjab,2003,0,0,false
Punjab,2004,0,0,false
Punjab,2005,0,0,false
Punjab,2006,0,0,false
Punjab,2007,0,0,false
Punjab,2008,0,0,false
Punjab,2009,0,0,false
Punjab,2010,0,0,false
Rajasthan,2002,0,0,false
Rajasthan,2009,0,1,false
Sikkim,2001,0,0,false
Sikkim,2002,0,0,false
Sikkim,2003,0,0,false
Sikkim,2004,0,0,false
Sikkim,2005,0,0,false
Sikkim,2006,0,0,false
Sikkim,2007,0,0,false
Sikkim,2008,0,0,false
Sikkim,2009,0,0,false
Sikkim,2010,0,0,false
Sikkim,2011,0,0,false
Sikkim,2012,0,0,false
Tamil Nadu,2008,0,0,false
Tamil Nadu,2011,0,2,false
Tripura,2001,0,0,false
Tripura,2002,0,0,false
Tripura,2003,0,0,false
Tripura,2004,0,0,false
Tripura,2005,0,0,false
Tripura,2006,0,0,false
Tripura,2008,0,0,false
Tripura,2009,0,1,false
Tripura,2010,0,0,false
Tripura,2011,0,0,false
Uttaranchal,2001,0,0,false
Uttaranchal,2002,0,0,false
Uttaranchal,2004,0,0,false
Uttaranchal,2007,0,0,false
Uttaranchal,2008,0,0,false
Uttaranchal,2010,0,0,false
Uttaranchal,2011,0,0,false
West Bengal,2003,0,0,false
A & N Islands,2002,0,0,false
A & N Islands,2003,0,0,false
A & N Islands,2004,0,0,false
A & N Islands,2005,0,0,false
A & N Islands,2006,0,0,false
A & N Islands,2007,0,0,false
A & N Islands,2008,0,0,false
A & N Islands,2009,0,0,false
A & N Islands,2010,0,0,false
A & N Islands,2011,0,0,false
A & N Islands,2012,0,0,false
Chandigarh,2001,0,0,false
Chandigarh,2002,0,0,false
Chandigarh,2003,0,0,false
Chandigarh,2004,0,0,false
Chandigarh,2005,0,0,false
Chandigarh,2006,0,0,false
Chandigarh,2010,0,2,false
Chandigarh,2011,0,1,false
D & N Haveli,2001,0,0,false
D & N Haveli,2002,0,0,false
D & N Haveli,2003,0,0,false
D & N Haveli,2004,0,0,false
D & N Haveli,2005,0,0,false
D & N Haveli,2006,0,0,false
D & N Haveli,2007,0,0,false
D & N Haveli,2008,0,0,false
D & N Haveli,2009,0,0,false
D & N Haveli,2010,0,0,false
D & N Haveli,2011,0,0,false
D & N Haveli,2012,0,0,false
Daman & Diu,2001,0,0,false
Daman & Diu,2003,0,0,false
Daman & Diu,2004,0,0,false
Daman & Diu,2005,0,0,false
Daman & Diu,2006,0,0,false
Daman & Diu,2007,0,0,false
Daman & Diu,2008,0,0,false
Daman & Diu,2009,0,0,false
Daman & Diu,2010,0,0,false
Daman & Diu,2011,0,0,false
Daman & Diu,2012,0,0,false
Delhi,2009,0,4,false
Lakshadweep,2001,0,0,false
Lakshadweep,2002,0,1,false
Lakshadweep,2003,0,0,false
Lakshadweep,2004,0,0,false
Lakshadweep,2005,0,0,false
Lakshadweep,2006,0,0,false
Lakshadweep,2007,0,1,false
Lakshadweep,2008,0,0,false
Lakshadweep,2009,0,0,false
Lakshadweep,2010,0,0,false
Lakshadweep,2011,0,0,false
Lakshadweep,2012,0,0,false
Pondicherry,2001,0,1,false
Pondicherry,2002,0,0,false
Pondicherry,2003,0,0,false
Pondicherry,2004,0,0,false
Pondicherry,2005,0,0,false
Pondicherry,2006,0,0,false
Pondicherry,2007,0,0,false
Pondicherry,2008,0,0,false
Pondicherry,2010,0,0,false
Pondicherry,2011,0,0,false
Pondicherry,2012,0,0,false
Andhra Pradesh,2013,0,0,false
Arunachal Pradesh,2013,0,0,false
Goa,2013,0,0,false
Manipur,2013,0,0,false
Meghalaya,2013,0,0,false
Mizoram,2013,0,0,false
Nagaland,2013,0,0,false
Orissa,2013,0,0,false
Punjab,2013,0,11,false
Sikkim,2013,0,0,false
Chandigarh,2013,0,2,false
D & N Haveli,2013,0,0,false
Daman & Diu,2013,0,0,false
Lakshadweep,2013,0,0,false
Pondicherry,2013,0,0,false
